나가, 75, 164
나다, 55, 140
자다, 90, 185
가아, 41, 179
나마, 96, 193
차사, 54, 181
자아, 63, 145
하마, 83, 190
자카, 84, 180
자타, 90, 148
나자, 63, 159
사자, 43, 155
사타, 63, 191
아차, 71, 198
아사, 56, 193
나아, 53, 152
자바, 95, 187
아카, 74, 142
자다, 71, 193
나사, 94, 178
라라, 91, 162
나가, 45, 182
라아, 93, 178
사자, 41, 150
자가, 57, 189
가하, 95, 187
차나, 70, 172
카가, 82, 145
라하, 76, 165
차가, 60, 198
파자, 43, 174
파카, 69, 179
다가, 90, 177
자파, 42, 185
카바, 89, 193
하라, 95, 187
아차, 58, 154
타바, 71, 192
카가, 88, 176
아다, 97, 144
자사, 55, 183
가다, 44, 147
하사, 98, 144
카타, 58, 159
다마, 79, 158
자아, 90, 191
다라, 48, 191
파차, 40, 180
타차, 67, 140
라가, 77, 152
카아, 42, 178
나나, 96, 177
나라, 95, 185
라타, 42, 149
카타, 63, 183
바사, 55, 167
가하, 94, 155
가가, 82, 155
바카, 81, 161
하바, 75, 174
차마, 40, 163
바자, 94, 157
아라, 66, 198
자아, 55, 153
다마, 52, 173
사파, 91, 196
마바, 79, 148
파카, 51, 190
차파, 45, 146
하다, 75, 189
파카, 75, 141
바자, 98, 192
가카, 92, 158
파가, 67, 145
다마, 48, 174
라차, 67, 164
나파, 64, 165
차아, 78, 147
마차, 81, 144
마하, 86, 150
아라, 98, 177
라타, 61, 140
자라, 40, 144
바가, 50, 186
카파, 96, 147
타가, 53, 163
다타, 69, 191
파하, 50, 174
가라, 99, 189
라마, 77, 171
자다, 46, 152
라사, 57, 140
타바, 43, 188
가다, 65, 172
파바, 91, 191
나나, 98, 149
가카, 81, 180
파바, 89, 151
라타, 94, 149
마하, 73, 161
자파, 61, 141
아바, 59, 198
파라, 91, 168
마바, 83, 178
라아, 99, 174
바차, 42, 175
타마, 67, 144
자사, 40, 177
타마, 83, 162
라파, 52, 176
사하, 78, 194
가파, 95, 189
마차, 94, 193
마다, 83, 177
나자, 68, 171
타차, 97, 149
나카, 89, 173
타카, 99, 190
바차, 59, 142
아사, 48, 148
차차, 59, 194
바다, 78, 196
타하, 82, 142
카타, 85, 157
사바, 74, 168
마마, 77, 170
가나, 99, 186
파자, 61, 197
카나, 95, 167
마하, 89, 175
아마, 48, 158
가라, 84, 194
하사, 62, 154
자다, 83, 141
파가, 41, 191
다바, 53, 194
타하, 64, 187
가자, 82, 164
마나, 46, 180
나자, 62, 173
사아, 98, 172
자나, 92, 181
차하, 57, 181
타타, 46, 190
사차, 94, 153
타다, 87, 164
다파, 86, 196
나차, 45, 192
자다, 46, 174
마사, 97, 187
자다, 50, 186
아아, 65, 182
가가, 54, 143
자다, 81, 177
타다, 44, 191
하다, 65, 155
사하, 68, 147
사바, 64, 180
자파, 72, 169
파자, 70, 162
자사, 52, 189
아카, 44, 193
카다, 54, 140
파파, 80, 181
자바, 55, 164
사아, 74, 176
사타, 47, 154
타다, 98, 180
자아, 77, 164
나나, 68, 143
사다, 77, 185
하자, 41, 180
사파, 72, 143
차아, 73, 175
차라, 56, 191
바마, 72, 144
자사, 61, 189
차카, 75, 165
가다, 92, 148
타나, 47, 185
타다, 90, 146
라가, 78, 145
차자, 79, 182
바카, 92, 149
나사, 95, 186
타사, 80, 166
다타, 59, 178
차다, 42, 156
마나, 76, 187
카마, 82, 145
